task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
32,selected_2,split_011,iid_matched,,0,3,42,2688,384,42,0.9180896404425802,8.567180995945783,5.919384704033534,0.8037154416046113,3.777992803650268,14.895610675215721,0.11003712871287126,0.055780789054287745,0.8229166666666666,20.09387344668868,0.9609375,38.17898636113114,0.9921875,58.38972090230633,6,19.68925614282489,fixed_epoch_budget_no_plateau_test
33,selected_2,split_012,iid_matched,,0,4,42,2688,384,42,0.9244641920143136,8.166689212062826,5.686139129797617,0.8183950900421102,3.7678562389845425,14.828412654499212,0.11319100660066005,0.023811925672238988,0.8098958333333334,20.00322469427518,0.96875,38.00675090382966,0.9973958333333334,58.12630950143287,6,19.66859950684011,fixed_epoch_budget_no_plateau_test
34,selected_2,split_013,iid_matched,,0,5,42,2688,384,42,0.9385852799353407,7.510820810591683,5.268926081061363,0.8244446138877953,3.7431833642593273,14.92319772640864,0.12273205445544554,-0.032080761927367675,0.8515625,20.131087813224198,0.96875,38.24969481842123,0.9973958333333334,58.49786015586191,6,19.674309336580336,fixed_epoch_budget_no_plateau_test
35,selected_2,split_014,iid_matched,,0,6,42,2688,384,42,0.9204208848300417,8.421018281518306,5.640760591427484,0.8030491619871221,3.7908238413181667,15.062742285430431,0.11739377062706267,0.010578227255772947,0.8307291666666666,20.319330562735857,0.953125,38.607361914576444,0.9947916666666666,59.044864775704376,6,19.694812146015465,fixed_epoch_budget_no_plateau_test
36,selected_2,split_015,iid_matched,,0,7,42,2688,384,42,0.9062433304853574,9.316070035755494,6.146438913941384,0.8074088179884156,3.815352791845387,14.812552427252134,0.10633250825082505,-0.00774388796582008,0.7942708333333334,19.981829572847314,0.9583333333333334,37.96609950571288,0.9869791666666666,58.06413855305109,6,19.107433611527085,fixed_epoch_budget_no_plateau_test
37,selected_2,split_016,kfold,,0,0,42,2457,615,42,0.9176971013259193,8.570989731018809,5.9736119838807635,0.8057472831719346,3.7794196408375895,14.807689821817041,0.10662480882234562,0.019363876768341694,0.8130081300813008,19.975270017796877,0.9642276422764228,37.95363614649695,0.9951219512195122,58.04507749000346,6,25.426580486819148,fixed_epoch_budget_no_plateau_test
38,selected_2,split_017,kfold,,0,1,42,2457,615,42,0.9291515230995935,8.080807966480327,5.73558923463899,0.8145007320471201,3.7625099907690784,14.92388858640097,0.11113257667230138,0.016143330729808846,0.816260162601626,20.13201976919149,0.967479674796748,38.25146556383071,0.9951219512195122,58.50056827726856,6,18.82944245170802,fixed_epoch_budget_no_plateau_test
39,selected_2,split_018,kfold,,0,2,42,2458,614,42,0.9116846400344111,8.87196736391856,6.092994813701618,0.8023360562599938,3.7932619468551465,14.778201421619627,0.10604057148385848,0.044610334259524355,0.8094462540716613,19.9354907704312,0.9511400651465798,37.87805433562014,0.99185667752443,57.9294850853062,6,18.683445123024285,fixed_epoch_budget_no_plateau_test
40,selected_2,split_019,kfold,,0,3,42,2458,614,42,0.9276987927940782,8.020346022282673,5.680809519267626,0.8118953449448423,3.762864597752727,14.919719456849736,0.11316541426129581,-0.10673517862171943,0.8224755700325733,20.126395698892395,0.9576547231270358,38.240779654824024,1.0,58.484225589733946,6,18.719456187449396,fixed_epoch_budget_no_plateau_test
41,selected_2,split_020,kfold,,0,4,42,2458,614,42,0.9193882575683653,8.659183210854886,5.742898359143385,0.8107951578686609,3.7874266468018294,14.852294524251832,0.11453865256232461,0.0015311118141390087,0.8159609120521173,20.0354408470025,0.9560260586319218,38.06796259896886,0.990228013029316,58.21992471063009,6,18.858024089597166,fixed_epoch_budget_no_plateau_test
42,selected_5,split_000,lolo,AmPhos,0,0,42,2688,384,42,0.11636930494618425,29.70736590987802,27.11646858334542,0.645305628154633,5.047980267933915,19.52838532626629,0.12780012376237623,-0.2919603077847824,0.171875,26.343391480892354,0.359375,50.05326557486953,0.8072916666666666,76.5498638314048,9,25.66138408239931,fixed_epoch_budget_no_plateau_test
43,selected_5,split_001,lolo,CataCXium A,0,1,42,2688,384,42,0.7345633044431756,15.928433264055442,12.21102248350779,0.7162857749249043,4.232256839936293,12.99941505243381,0.13562809405940593,0.05486589128886779,0.5026041666666666,17.535944422822528,0.7552083333333334,33.31884142322118,0.8802083333333334,50.95677064571624,9,19.188375887461007,fixed_epoch_budget_no_plateau_test
44,selected_5,split_002,lolo,P(Cy)3,0,2,42,2688,384,42,0.5583975519033778,19.67457903995573,15.849727691610653,0.605131276206883,4.450398984354122,15.837647100289663,0.13517945544554455,0.17103925773964937,0.3880208333333333,21.364661272736146,0.75,40.59352287183824,0.8776041666666666,62.082435832845924,9,19.180404925718904,fixed_epoch_budget_no_plateau_test
45,selected_5,split_003,lolo,P(Ph)3,0,3,42,2688,384,42,0.48744294648083153,23.78493746822811,21.541857326229415,0.5884944940032953,4.658862548200976,18.723708738883335,0.12185334158415843,-0.3498734783493269,0.20572916666666666,25.25789926006723,0.6119791666666666,47.990796494234104,0.9114583333333334,73.39558957045843,9,19.176260604523122,fixed_epoch_budget_no_plateau_test
46,selected_5,split_004,lolo,P(o-Tol)3,0,4,42,2688,384,42,0.3993270141702959,21.283200068680944,15.004821029901505,0.5699889182404017,4.596783176681336,15.670858291288218,0.15918935643564355,-0.03452811874809264,0.5182291666666666,21.13966658849837,0.7838541666666666,40.16602595325599,0.8619791666666666,61.4286357155116,9,19.195790738798678,fixed_epoch_budget_no_plateau_test
