task_id,model,split_id,method,reference_group,repeat,fold,seed,n_train,n_test,fit_seed,r2,rmse,mae,kendall_tau,predictive_nll,mean_predictive_std,pit_cdf_mae,abs_residual_std_spearman,coverage_50,width_50,coverage_80,width_80,coverage_95,width_95,n_features,fit_seconds,selected_stop_reason
55,selected_2,split_013,iid_matched,,0,5,42,2688,384,42,0.9138285254480717,8.896781504802563,6.615120935042699,0.7901998548477025,3.9588949342675708,18.685035571455956,0.11945750825082506,0.04825243294564444,0.8697916666666666,25.205729949992456,0.9817708333333334,47.89167317771186,1.0,73.24399353980692,6,18.698465866036713,fixed_epoch_budget_no_plateau_test
56,selected_2,split_014,iid_matched,,0,6,42,2688,384,42,0.8866010174821373,10.052397097908933,7.177531329790752,0.7647782872291875,4.002869606757369,19.016499415040016,0.11436881188118814,0.024473144349123465,0.8697916666666666,25.65286788010855,0.9583333333333334,48.741249193045014,0.9921875,74.54330793101087,6,18.717495513148606,fixed_epoch_budget_no_plateau_test
57,selected_2,split_015,iid_matched,,0,7,42,2688,384,42,0.869437002335809,10.993645162771973,7.714636826713881,0.7662577857976027,4.014246013572417,18.520166287819546,0.1029806105610561,-0.044517818995625784,0.7994791666666666,24.9833246661226,0.9661458333333334,47.469096200602934,0.9869791666666666,72.59771782363835,6,18.62983733508736,fixed_epoch_budget_no_plateau_test
58,selected_2,split_016,kfold,,0,0,42,2457,615,42,0.8688033561334599,10.821432926814113,7.833839451239361,0.7538681611285463,4.004680861498534,18.353342868835945,0.09846252917974725,0.035559002846680614,0.8,24.75828329372839,0.9560975609756097,47.041510573067065,0.991869918699187,71.94378203766698,6,25.394464602693915,fixed_epoch_budget_no_plateau_test
59,selected_2,split_017,kfold,,0,1,42,2457,615,42,0.8881844983164455,10.151741148427442,7.391516833545716,0.7625701527599382,3.9714099422105886,18.046835209296002,0.10316187716332609,-0.04477553113447291,0.8113821138211382,24.344810744295824,0.9609756097560975,46.25589983119742,0.9934959349593496,70.74229409029907,6,19.333673489280045,fixed_epoch_budget_no_plateau_test
60,selected_2,split_018,kfold,,0,2,42,2458,614,42,0.862095345855704,11.086418675313219,8.163234350347363,0.7504603304797121,4.0027917498736265,18.06758955635543,0.09026993904602185,-0.007689618914670371,0.7703583061889251,24.372807933023015,0.9543973941368078,46.309095363129146,0.988599348534202,70.82364963581732,6,19.31632384750992,fixed_epoch_budget_no_plateau_test
61,selected_2,split_019,kfold,,0,3,42,2458,614,42,0.8913211512751735,9.83315410982336,7.289177085056366,0.7752059952904471,3.97449919777146,18.48255527446635,0.10848647079691683,0.12331755322271834,0.8289902280130294,24.93258818012016,0.9674267100977199,47.372695294513925,0.998371335504886,72.45028536044971,6,19.27488488238305,fixed_epoch_budget_no_plateau_test
62,selected_2,split_020,kfold,,0,4,42,2458,614,42,0.8816336876168086,10.492810584856729,7.4608472381740905,0.763052872547588,3.99707300067597,18.452882670424273,0.10560518592575871,-0.0639118975000878,0.8143322475570033,24.892560445544145,0.9641693811074918,47.29664135018611,0.988599348534202,72.33397088994974,6,19.13186785019934,fixed_epoch_budget_no_plateau_test
63,pc_top,split_000,lolo,AmPhos,0,0,42,2688,384,42,0.20711992505828836,28.14054477677497,25.69645895719528,0.7866094591421487,4.803565252253215,35.58683822552363,0.05001443894389438,-0.0798766189355026,0.3697916666666667,48.0059152500036,0.9973958333333334,91.21273648140448,1.0,139.4978424913592,16,24.534089032560587,fixed_epoch_budget_no_plateau_test
64,pc_top,split_001,lolo,CataCXium A,0,1,42,2688,384,42,0.6527719711594351,18.217969332535773,14.39524914185206,0.6229133663768532,4.4964329248385475,29.62562958399455,0.08155115511551153,0.01960025940117324,0.7552083333333334,39.964366995020264,0.9583333333333334,75.93354394722529,1.0,116.13033400790732,16,18.369904986582696,fixed_epoch_budget_no_plateau_test
